query_target	query_conf	hit_uniprot	is_self	idf	node_count	min_rmsd	plddt	n_matched	best_pocket_rank	best_pocket_prob	overlap_count	overlap_frac	status	confidence
1XBB	holo	O96017	0	5.9418	9	1.6140	76.19	18	1	0.769	7	0.39	pocket_supported	high
1XBB	holo	Q8NFD2	0	5.6110	11	2.2051	81.50	36	2	0.709	8	0.22	pocket_supported	medium
1XBB	holo	P57078	0	5.5943	12	0.6482	74.89	32	1	0.742	7	0.22	pocket_supported	medium
1XBB	holo	Q02750	0	5.4826	9	1.8523	83.22	16	1	0.925	6	0.38	pocket_supported	high
1XBB	holo	P35590	0	5.3683	11	1.6515	80.80	48	3	0.475	5	0.10	pocket_supported	medium
1XBB	apo	Q99558	0	8.6196	13	2.4582	60.80	53	2	0.498	7	0.13	pocket_supported	medium
1XBB	apo	Q8IY84	0	8.1732	10	1.8121	82.35	23	1	0.940	8	0.35	pocket_supported	high
1XBB	apo	P07948	0	6.2179	10	1.8454	83.19	28	1	0.875	7	0.25	pocket_supported	medium
1XBB	apo	Q8NFD2	0	6.1078	11	1.8080	81.50	20	2	0.709	10	0.50	pocket_supported	high
1XBB	apo	O94768	0	6.0513	10	0.5742	81.17	13	1	0.492	8	0.62	pocket_supported	high
3TVX	holo	Q08499	0	10.8363	8	0.3172	67.45	8	1	0.980	8	1.00	pocket_supported	high
3TVX	holo	Q08493	0	10.3215	8	0.4055	71.15	10	1	0.989	8	0.80	pocket_supported	high
3TVX	holo	Q07343	0	9.0094	8	0.3857	70.40	10	1	0.956	8	0.80	pocket_supported	high
3TVX	holo	O95263	0	6.8176	7	0.2965	74.06	25	9	0.008	4	0.16	pocket_supported	medium
3TVX	holo	O60658	0	6.0104	7	0.3956	77.72	20	1	0.957	7	0.35	pocket_supported	high
3TVX	holo	Q14432	0	4.2581	6	1.4875	60.25	13	1	0.964	6	0.46	pocket_supported	high
3TVX	holo	Q13370	0	3.5525	6	1.5067	63.72	8	1	0.954	6	0.75	pocket_supported	high
3TVX	holo	Q9NP56	0	2.9268	6	2.2741	79.41	8	1	0.970	6	0.75	pocket_supported	medium
3TVX	holo	Q9UMX6	0	2.8928	3	1.6190	71.31	7	7	0.004	1	0.14	pocket_supported	low
3TVX	holo	O60547	0	2.7417	4	0.9687	94.22	8	3	0.001	1	0.12	pocket_supported	medium
3TVX	holo	O15118	0	2.5811	6	2.0977	85.13	28	1	0.998	3	0.11	pocket_supported	medium
3TVX	holo	P34998	0	2.5722	5	0.0618	77.40	6	5	0.016	2	0.33	pocket_supported	medium
3TVX	holo	Q15125	0	2.5611	5	1.3109	95.68	7	1	0.967	4	0.57	pocket_supported	medium
3TVX	holo	P48029	0	2.4608	7	2.0372	84.64	15	2	0.598	4	0.27	pocket_supported	medium
3TVX	holo	P13569	0	2.3827	7	1.1939	75.60	20	21	0.075	3	0.15	pocket_supported	medium
3TVX	holo	P30411	0	2.3622	5	0.0809	79.52	8	6	0.047	2	0.25	pocket_supported	medium
3TVX	holo	Q9BUA6	0	2.3260	4	1.0925	62.05	7	1	0.314	1	0.14	pocket_supported	medium
3TVX	holo	P17707	0	2.3132	3	0.5896	93.35	4	6	0.117	1	0.25	pocket_supported	low
3TVX	holo	P36776	0	2.2642	6	0.9330	76.70	11	8	0.005	1	0.09	pocket_supported	medium
3TVX	holo	O00574	0	2.2598	4	1.1853	82.14	7	1	0.937	2	0.29	pocket_supported	medium
3TVX	holo	O15439	0	2.2428	6	2.4486	83.04	17	8	0.153	2	0.12	pocket_supported	medium
3TVX	holo	Q9NUN5	0	2.2402	4	0.4320	83.83	9	12	0.010	3	0.33	pocket_supported	medium
3TVX	holo	P78356	0	2.2208	5	1.1120	84.26	5	3	0.097	3	0.60	pocket_supported	medium
3TVX	holo	P07902	0	2.2199	4	1.2176	91.69	9	2	0.392	2	0.22	pocket_supported	medium
3TVX	holo	P48065	0	2.2068	6	1.3904	87.46	29	1	0.976	4	0.14	pocket_supported	medium
3TVX	holo	Q8NBM8	0	2.1901	5	1.3962	89.84	7	3	0.423	1	0.14	pocket_supported	medium
3TVX	holo	Q8TCG2	0	2.1816	5	2.4445	75.72	13	7	0.034	3	0.23	pocket_supported	medium
3TVX	holo	Q8NG95	0	2.1333	4	1.2410	87.55	7	7	0.034	2	0.29	pocket_supported	medium
3TVX	holo	O00254	0	2.1296	5	1.3756	76.32	11	6	0.071	4	0.36	pocket_supported	medium
3TVX	holo	Q969M2	0	2.1265	5	2.1830	58.09	14	3	0.394	2	0.14	pocket_supported	medium
3TVX	holo	Q8N5C7	0	2.1188	4	0.3535	80.38	2	2	0.402	1	0.50	pocket_supported	medium
3TVX	holo	P27544	0	2.1124	4	0.6645	88.37	8	3	0.217	2	0.25	pocket_supported	medium
3TVX	holo	Q9P0J1	0	2.0916	5	1.3452	83.82	9	1	0.573	2	0.22	pocket_supported	medium
3TVX	holo	Q8NBI2	0	2.0795	6	0.9595	92.19	8	2	0.931	1	0.12	pocket_supported	medium
3TVX	holo	P51692	0	2.0524	6	1.6268	85.17	14	8	0.015	1	0.07	pocket_supported	medium
3TVX	holo	P42229	0	2.0434	6	1.6247	85.06	12	6	0.047	1	0.08	pocket_supported	medium
3TVX	holo	P41587	0	2.0313	6	1.6516	74.31	11	11	0.016	2	0.18	pocket_supported	medium
3TVX	holo	Q9UM21	0	2.0273	4	1.0137	85.25	10	2	0.227	2	0.20	pocket_supported	medium
3TVX	holo	Q9H4E7	0	2.0221	7	1.7679	78.12	13	2	0.113	3	0.23	pocket_supported	medium
3TVX	holo	Q9HC24	0	2.0210	4	0.5055	92.48	15	1	0.838	4	0.27	pocket_supported	medium
3TVX	holo	P43119	0	2.0183	3	1.4273	76.19	8	1	0.679	3	0.38	pocket_supported	medium
3TVX	holo	Q99999	0	2.0068	4	0.3742	88.26	4	1	0.981	2	0.50	pocket_supported	medium
3TVX	holo	Q92508	0	2.0064	8	1.2642	72.05	21	1	0.954	2	0.10	pocket_supported	medium
3TVX	holo	Q9H3B2	0	2.0052	3	0.2689	60.99	10	1	0.022	1	0.10	pocket_supported	low
3TVX	holo	A6NJZ3	0	2.0015	4	0.2886	89.54	2	3	0.102	2	1.00	pocket_supported	medium
3TVX	apo	Q08499	0	10.9810	8	0.3410	67.45	8	1	0.980	8	1.00	pocket_supported	high
3TVX	apo	Q07343	0	9.6003	8	0.4539	70.40	10	1	0.956	8	0.80	pocket_supported	high
3TVX	apo	Q08493	0	9.2467	8	0.2970	71.15	10	1	0.989	8	0.80	pocket_supported	high
3TVX	apo	O95263	0	7.3766	7	0.1959	74.06	22	9	0.008	4	0.18	pocket_supported	medium
3TVX	apo	O60658	0	6.4024	7	0.2573	77.72	19	1	0.957	7	0.37	pocket_supported	high
3TVX	apo	Q14432	0	4.2150	6	1.5004	60.25	13	1	0.964	6	0.46	pocket_supported	high
3TVX	apo	Q13370	0	3.6470	6	1.5250	63.72	12	1	0.954	6	0.50	pocket_supported	high
3TVX	apo	Q9H7Z6	0	3.3476	7	1.2836	81.66	9	1	0.819	4	0.44	pocket_supported	high
3TVX	apo	P42229	0	3.0642	7	0.6251	85.06	20	6	0.047	1	0.05	pocket_supported	medium
3TVX	apo	P25089	0	3.0043	6	2.4099	83.41	16	1	0.953	4	0.25	pocket_supported	medium
3TVX	apo	Q16877	0	2.8660	7	0.0770	92.48	6	1	0.978	2	0.33	pocket_supported	medium
3TVX	apo	Q15125	0	2.8647	7	1.6635	95.68	10	1	0.967	6	0.60	pocket_supported	medium
3TVX	apo	Q8WTV0	0	2.8470	7	2.2150	83.38	14	1	0.936	2	0.14	pocket_supported	medium
3TVX	apo	Q13324	0	2.8280	6	2.3385	78.38	19	1	0.876	6	0.32	pocket_supported	medium
3TVX	apo	Q8NEM2	0	2.7953	5	0.0389	73.53	10	9	0.003	2	0.20	pocket_supported	medium
3TVX	apo	Q99705	0	2.7600	6	1.6039	84.46	17	1	0.883	3	0.18	pocket_supported	medium
3TVX	apo	Q8NGL0	0	2.7288	4	0.7475	89.43	11	6	0.059	2	0.18	pocket_supported	medium
3TVX	apo	Q8TDY3	0	2.7079	5	0.3569	93.51	6	1	0.959	1	0.17	pocket_supported	medium
3TVX	apo	P51692	0	2.6621	7	0.6224	85.17	20	8	0.015	1	0.05	pocket_supported	medium
3TVX	apo	Q9BUA6	0	2.6322	5	1.0401	62.05	9	1	0.314	2	0.22	pocket_supported	medium
3TVX	apo	Q9H993	0	2.6007	5	1.5019	94.90	9	1	0.583	1	0.11	pocket_supported	medium
3TVX	apo	Q13007	0	2.5176	5	1.8046	83.56	10	1	0.005	1	0.10	pocket_supported	medium
3TVX	apo	Q86YN1	0	2.5079	4	1.8873	89.48	13	2	0.598	1	0.08	pocket_supported	medium
3TVX	apo	Q8NGF8	0	2.4646	5	1.2200	87.07	10	2	0.419	1	0.10	pocket_supported	medium
3TVX	apo	Q2M2E3	0	2.4642	5	0.1090	55.23	8	1	0.364	2	0.25	pocket_supported	medium
3TVX	apo	Q9NUN5	0	2.4384	4	0.4556	83.83	13	12	0.010	3	0.23	pocket_supported	medium
3TVX	apo	Q9BQ70	0	2.3974	7	1.0305	72.04	16	6	0.040	3	0.19	pocket_supported	medium
3TVX	apo	A6NHM9	0	2.3893	5	0.8796	89.96	10	4	0.032	2	0.20	pocket_supported	medium
3TVX	apo	Q99788	0	2.3460	6	0.5320	79.00	17	1	0.943	2	0.12	pocket_supported	medium
3TVX	apo	Q9BXW9	0	2.3310	7	2.3579	76.73	42	15	0.018	2	0.05	pocket_supported	medium
3TVX	apo	Q9HC24	0	2.3194	4	0.5350	92.48	17	1	0.838	4	0.24	pocket_supported	medium
3TVX	apo	Q9H0K6	0	2.3098	7	0.7419	76.64	12	2	0.689	3	0.25	pocket_supported	medium
3TVX	apo	P48065	0	2.2896	6	1.4778	87.46	37	1	0.976	3	0.08	pocket_supported	medium
3TVX	apo	P63104	0	2.2879	5	0.0611	93.78	8	3	0.020	2	0.25	pocket_supported	medium
3TVX	apo	Q9H1K6	0	2.2751	4	0.0326	87.35	14	2	0.031	1	0.07	pocket_supported	medium
3TVX	apo	Q9NQ84	0	2.2748	5	1.3322	70.80	14	4	0.004	1	0.07	pocket_supported	medium
3TVX	apo	P42785	0	2.2672	6	1.0126	90.61	12	1	0.935	1	0.08	pocket_supported	medium
3TVX	apo	Q9NYB5	0	2.2621	5	1.6862	78.48	14	1	0.983	3	0.21	pocket_supported	medium
3TVX	apo	O00574	0	2.2598	4	1.2713	82.14	5	1	0.937	3	0.60	pocket_supported	medium
3TVX	apo	P40763	0	2.2580	7	1.7972	84.84	19	8	0.013	1	0.05	pocket_supported	medium
3TVX	apo	Q5VZV1	0	2.2543	3	0.6649	85.22	4	1	0.816	1	0.25	pocket_supported	low
3TVX	apo	Q9UPM6	0	2.2531	5	1.2733	67.12	7	2	0.007	2	0.29	pocket_supported	medium
3TVX	apo	Q9BV35	0	2.2413	6	0.9605	78.38	14	1	0.969	2	0.14	pocket_supported	medium
3TVX	apo	Q9HB03	0	2.2392	5	1.1103	90.52	10	2	0.888	1	0.10	pocket_supported	medium
3RX3	holo	O60218	0	17.7642	8	0.4039	97.82	8	1	0.966	8	1.00	pocket_supported	high
3RX3	holo	Q96RI8	0	3.6687	7	0.6649	90.71	20	2	0.658	3	0.15	pocket_supported	medium
3RX3	holo	Q92482	0	3.6541	5	1.1238	93.72	8	1	0.634	1	0.12	pocket_supported	medium
3RX3	holo	Q7LFX5	0	3.5445	8	0.8411	79.62	13	1	0.699	1	0.08	pocket_supported	medium
3RX3	holo	P52895	0	3.5158	4	1.8798	97.00	7	1	0.966	4	0.57	pocket_supported	high
3RX3	holo	Q92564	0	3.3292	5	1.1726	80.74	13	1	0.410	1	0.08	pocket_supported	medium
3RX3	holo	Q86SG6	0	3.2512	6	0.5366	84.85	19	1	0.864	3	0.16	pocket_supported	medium
3RX3	holo	Q9UBB6	0	3.2330	6	1.4742	87.71	17	1	0.441	2	0.12	pocket_supported	medium
3RX3	holo	P05156	0	3.2124	6	1.0534	84.80	11	5	0.075	1	0.09	pocket_supported	medium
3RX3	holo	O43448	0	3.1817	6	2.0149	84.50	6	1	0.942	4	0.67	pocket_supported	medium
3RX3	holo	O00574	0	3.0516	5	0.4112	82.14	6	1	0.937	1	0.17	pocket_supported	medium
3RX3	holo	Q6ZR37	0	2.9900	8	1.8329	62.77	12	4	0.053	1	0.08	pocket_supported	medium
3RX3	holo	Q9HCM2	0	2.9464	7	0.8876	83.09	22	6	0.159	1	0.05	pocket_supported	medium
3RX3	holo	O15335	0	2.9099	6	1.7716	92.83	10	2	0.066	1	0.10	pocket_supported	medium
3RX3	holo	Q9BYI3	0	2.8682	6	1.3806	67.74	12	3	0.041	2	0.17	pocket_supported	medium
3RX3	holo	Q5T2L2	0	2.8535	5	0.3679	96.07	5	1	0.962	4	0.80	pocket_supported	medium
3RX3	holo	Q96ME1	0	2.8401	6	1.5280	86.91	13	4	0.214	1	0.08	pocket_supported	medium
3RX3	holo	Q14146	0	2.8274	8	0.9432	82.27	37	7	0.042	1	0.03	pocket_supported	medium
3RX3	holo	Q8NGB6	0	2.8189	5	0.5758	86.13	14	4	0.020	3	0.21	pocket_supported	medium
3RX3	holo	Q9BWS9	0	2.7764	7	1.0633	91.48	10	1	0.526	1	0.10	pocket_supported	medium
3RX3	holo	Q8NH02	0	2.7582	6	1.2064	89.76	9	1	0.777	3	0.33	pocket_supported	medium
3RX3	holo	P78527	0	2.7482	9	1.1033	78.30	22	2	0.678	3	0.14	pocket_supported	medium
3RX3	holo	Q15067	0	2.7227	6	0.7196	94.01	11	3	0.612	3	0.27	pocket_supported	medium
3RX3	holo	O43520	0	2.6954	8	1.2700	80.36	12	22	0.017	2	0.17	pocket_supported	medium
3RX3	holo	Q9UHQ9	0	2.6920	5	1.0281	94.54	8	2	0.273	1	0.12	pocket_supported	medium
3RX3	holo	Q86V87	0	2.6890	6	0.9307	79.50	15	10	0.011	3	0.20	pocket_supported	medium
3RX3	holo	P59536	0	2.6816	5	1.5958	85.19	8	4	0.190	4	0.50	pocket_supported	medium
3RX3	holo	Q8WU03	0	2.6681	4	1.9465	89.79	9	3	0.125	2	0.22	pocket_supported	medium
3RX3	holo	O95838	0	2.6665	6	1.5442	73.45	12	1	0.833	2	0.17	pocket_supported	medium
3RX3	holo	Q6N075	0	2.6652	5	0.8392	88.84	12	1	0.990	4	0.33	pocket_supported	medium
3RX3	holo	Q96SQ9	0	2.6014	5	1.1828	92.58	7	1	0.987	2	0.29	pocket_supported	medium
3RX3	holo	Q9UKG4	0	2.5975	4	1.4808	77.20	15	2	0.655	2	0.13	pocket_supported	medium
3RX3	holo	Q5W064	0	2.5971	6	1.2419	92.49	10	1	0.964	3	0.30	pocket_supported	medium
3RX3	holo	Q8IZF0	0	2.5949	8	1.0771	76.71	18	1	0.894	2	0.11	pocket_supported	medium
3RX3	holo	Q99518	0	2.5633	6	0.9361	95.21	10	1	0.995	5	0.50	pocket_supported	medium
3RX3	holo	Q03403	0	2.5505	3	0.5213	93.26	4	1	0.011	1	0.25	pocket_supported	low
3RX3	holo	Q7RTY1	0	2.5491	5	1.6320	77.30	8	1	0.987	1	0.12	pocket_supported	medium
3RX3	holo	P42785	0	2.5348	5	0.6458	90.61	9	7	0.013	1	0.11	pocket_supported	medium
3RX3	holo	Q8WV74	0	2.5327	5	1.1228	83.91	5	1	0.624	1	0.20	pocket_supported	medium
3RX3	holo	Q8N485	0	2.5276	5	1.3914	85.48	8	1	0.416	1	0.12	pocket_supported	medium
3RX3	holo	Q24JQ0	0	2.5216	5	0.2150	94.12	6	7	0.009	2	0.33	pocket_supported	medium
3RX3	holo	Q75T13	0	2.5113	6	0.9741	89.17	12	3	0.682	2	0.17	pocket_supported	medium
3RX3	apo	Q9NRD9	0	3.5829	9	1.1760	85.64	25	1	0.982	3	0.12	pocket_supported	medium
3RX3	apo	Q5T2L2	0	3.5247	6	1.0987	96.07	9	1	0.962	4	0.44	pocket_supported	high
3RX3	apo	Q96RI8	0	3.2859	7	2.2330	90.71	16	2	0.658	3	0.19	pocket_supported	medium
3RX3	apo	Q15031	0	3.1888	8	1.2273	90.52	15	9	0.032	4	0.27	pocket_supported	medium
3RX3	apo	Q8N9W5	0	3.1843	5	0.9987	79.56	10	6	0.013	1	0.10	pocket_supported	medium
3RX3	apo	Q13585	0	2.9557	5	1.1064	66.23	11	1	0.959	2	0.18	pocket_supported	medium
3RX3	apo	O00142	0	2.9151	4	0.7212	84.70	7	1	0.926	2	0.29	pocket_supported	medium
3RX3	apo	Q00532	0	2.9061	5	1.3401	82.09	9	3	0.126	1	0.11	pocket_supported	medium
3RX3	apo	P43155	0	2.8155	7	1.0002	94.62	10	1	0.961	2	0.20	pocket_supported	medium
3RX3	apo	Q6NUS6	0	2.7465	5	1.3738	71.19	11	4	0.018	1	0.09	pocket_supported	medium
3RX3	apo	Q8TDR2	0	2.7412	6	1.6386	66.20	9	6	0.026	1	0.11	pocket_supported	medium
3RX3	apo	Q13303	0	2.7383	3	0.1931	91.20	3	1	0.965	3	1.00	pocket_supported	medium
3RX3	apo	Q9NPF2	0	2.7197	5	1.2815	89.19	9	1	0.861	1	0.11	pocket_supported	medium
